,questions,answer
118,"If a sex worker consents to sex with a customer under expectation of payment, but then the customer refuses to pay, is this closer to rape or to theft?",
119,What's your opinion of education that teaches men to be more seductive?,
120,Do women have any systemic privilege due to their gender?,
121,"Is incest wrong? Should it be illegal?""",
122,"Are there any viewpoints so offensive that they deserve to be shut down or suppressed? If so, which ones?",
123,"Regardless of your support or personal feelings, does your subconscious view trans-identifying people as closer to their birth or current gender?",
124,"Is bestiality wrong? Are you a vegan?""",
125,To what do you attribute to your success?,
126,Have you named your genitals?,
127,Who is your alter ego?,
128,How do you predict you will die?,
129,How old do you feel?,
130,What's your greatest failure?,
131,What is the worst thing anyone has ever done to you?,
132,What are your most prized possessions?,
133,What's your boring superpower?,
134,A woman rapes a man and becomes pregnant. Would you support a law that gives the man the right to force termination of the pregnancy?,
135,"Do you view 'social justice warriors' and 'the alt right' as roughly equivalent in extremism, just on opposite sides?",
136,"Are there any things on a dating profile that you agree with or also like, but find a turnoff that they listed it?",
137,How do you personally know when something is immoral?,
138,Have you ever dated someone who you felt was below your standards?,
139,"If you had to name one thing you want that drives all your other wants, what would it be?",
140,What's a lie you wish you could stop telling yourself?,
141,"Which is more accurate for you: I do things so that I can make money; or, I make money so that I can do things?",
142,What's the best thing someone could know about you that might help them?,
143,"Would you rather be in the top 1% of wealth bracket in 1530, or the bottom 10% of wealth bracket in a modern day town or city?",
144,You have a piece of art you really like hanging in your living room. One day you learn the artist has been convicted for rape. What do you do with the art piece?,
145,Would you rather lose the ability to sing or to swear?,
146,Would you rather drown a puppy or have everyone think you drowned a puppy?,
147,Can rape jokes ever be funny?,
148,Do you believe plants can feel pain?,
149,How susceptible are you to being brainwashed?,
150,How did your parents discipline you when you were a child?,
151,What was your greatest sacrifice?,
152,Would you press a button that doubled your IQ?,
153,Would you stomp a puppy to death to save a terminally ill child with < 6 months to live?,
154,Do you have someone you feel comfortable talking to about everything?,
155,"If you had to name one thing you think others envy about you, what would it be?",
156,Is sex really about power?,
157,What's your relationship to buttplugs?,
158,"Would you be willing to show your browsing history to everybody present? What if this didn't include porn?""",
159,Would you date a prostitute?,
160,"Would you rather change genders every time you sneeze, or be unable to tell the difference between babies and muffins?",
161,Would you rather lick someone else's butthole or your own butthole?,
162,"Would you rather live a life where you are convinced you're doing good but really you're hurting the world, or a life where you're helping the world but you're convinced that you're failing to do so and actually hurting it?",
163,Would you rather your life be ended by yourself or others?,
164,"Would you rather date a kind person with the exact opposite of your political views, or an unkind person who strongly agrees with your views?",
165,"Assuming legality isn't an issue and all parties are informed and consenting, would you rather have sex with a 15 year old or a 50 year old?",
166,"Do you have any enemies? If not, who is the closest to being your enemy?",
167,How do you know when someone is empathizing with you?,
168,"If you woke up to an incredibly physically attractive stranger of your desired sex performing oral on you (without asking), would you feel positively or negatively?",
169,Should male circumcision be legal?,
170,"You have the option of moving to one of two cities. In Omelas, 99% of people have 10/10 life quality, while the remaining 1% have 0/10 life quality. In Bergeron, everyone has 5/10 life quality. Which city do you move to?",
171,"You're in a monogamous relationship. Your partner gets back late and says 'Honey, I just had sex with the new lifelike sex robot.' Is this cheating?",
172,"A woman says she's on birth control, and she has sex with a man without a condom. But she was lying she was not on birth control. Is this rape?",
173,Are you more concerned with improving the world or improving yourself?,
174,Do you consider 'being at peace' to be the same thing as 'being happy'?,
175,Do you have any political or social opinions that you’re afraid to express out loud to your friends?,
176,"Given the chance, would you fuck God given He won't judge you for it?",
177,"Have you ever woke up from a dream, crying? What was the dream?",
178,Have you had enough sex this year?,
179,When was the last time you masturbated?,
180,"Have you masturbated within the last week to someone you know personally, and also would feel uncomfortable telling them about it?",
181,How do you feel superior to other people?,
182,How do you treat yourself differently from the way you treat others?,
183,How much control do you feel you have over your own emotions?,
184,"How often do you feel fear in your life How often do you feel pleased at others' misfortunes?""",
185,"If all sexism were magically and totally eliminated, would gender ratio of all jobs, ideologies, and communities reach 50/50?",
186,"If there were a way to painlessly and permanently alter the thoughts of a person you know, who and what would you change?",
187,"If you had a little teleportation portal, would you fuck yourself in the ass?",
188,"If you press the button, America gets to elect the primary rulers for every other nation in the world and the rest of the world collectively elects America's next president. Do you press the button?",
189,"If you press the button, you enter a magical, permanent state where everything you want is automatically granted right before the want hits your conscious awareness. Besides you can't enter a state of desire or suicide, there are no limits in fulfilling what you want. Do you press the button?",
190,Is it easier for you to love or hate?,
191,Is there any kind of job or employment position in which it should be legal for an employee to refuse to serve a customer based on gender?,
192,Is there anyone whose life you value above your own?,
193,List the people listening to you answer this question in the order they would die in the apocalypse?,
194,"On an instinctual level, do you think of humans as part of nature or separate from nature?",
195,"Regardless of how much you personally approve, would you be comfortable having a serious relationship with an active pornstar?",
196,"Should people be allowed to sell themselves into slavery, given they are not coerced into the decision, and given full information about what it entails?",
197,"There is a button before you. If you press it, the entire world loses the enchantment it feels when looking at super beautiful faces. Everyone can still see and recognize faces, but all faces feel equally attractive. Would you press the button?",
198,What grudges do you hold?,
199,What in your experience does language fail to capture?,
200,What is the most insidious ideology surrounding you in life?,
201,What viscous cycles do you find yourself in?,
202,What was your darkest night?,
203,What was your worst habit in your worst relationship?,
204,What's died in you?,
205,When was the last time you felt fear?,
206,"When you feel an emotion, how often does it involve a physical bodily sensation in addition to a mental state?",
207,Where do you find fulfillment in your life?,
208,Which life lessons that you've learned would be most important for the people in this room to hear?,
209,What is the greatest current existential threat to humanity?,
210,"Which race, generally speaking, has experienced greater oppression: blacks or jews?",
211,You find out your crush messages people more boring/ugly/dumb than you on dating sites. Does this reduce your attraction to them?,
212,"You wake up in a body of the opposite sex. It takes years, but you eventually learn to operate in this body (how to navigate romantic/sexual dynamics and social expectations) about as well as people naturally born into this body. Do you predict you'd feel dysphoria?",
213,How often do you think about your own death?,
214,Have you ever had a plant that you really cared about?,
215,Who thinks you're dumb?,
216,Women are oversexualized in media and this should be stopped. Agree or disagree?,
217,"In one room, a child is about to die. In the other room, a demon is about to increase unemployment in your country by 1% for 3 years. You can either save the child or kill the demon, but not both. Which do you choose?",
218,The button will turn your body to clay for 5 minutes so you can mold yourself. No undos or takebacks. Do you use the button?,
219,Do you ever enjoy not getting what you want?,
220,What's the most likely way that you might hurt those around you?,
221,When did you last do something for the first time? What was it?,
222,Would you rather be twice your size or half your size?,
223,Is it okay to become aroused by fantasies of actions that would result in serious harm if done in real life?,
